id,question,option1,option2,option3,option4,correctOption
36,"Förklara hur ström och spänning fördelas i en krets med både seriekopplade och parallellkopplade komponenter.","Strömmen är lika i alla delar","Spänningen fördelas endast i seriekopplingar","Strömmen delar sig i parallellkopplingar och spänningen fördelas i seriekopplingar","Inget händer med strömmen eller spänningen","Strömmen delar sig i parallellkopplingar och spänningen fördelas i seriekopplingar"
37,"Hur har elektriciteten förändrat vårt samhälle sedan 1800-talet?","Det har gjort arbetet långsammare","Det har möjliggjort många nya teknologier och effektiviserat livet","Det har haft liten påverkan","Det har bara påverkat jordbruket","Det har möjliggjort många nya teknologier och effektiviserat livet"
38,"Vilka är de största utmaningarna med att producera elektricitet hållbart?","Det är för dyrt att tillverka","Det finns för få människor som kan hantera elektricitet","Miljöpåverkan från fossila bränslen och behovet av förnybara källor","Elektricitet går inte att lagra","Miljöpåverkan från fossila bränslen och behovet av förnybara källor"
39,"Två resistorer med olika resistans är kopplade i serie och sedan parallellt. Hur förändras den totala resistansen?","I seriekoppling är resistansen mindre","I parallellkoppling är resistansen större","Seriekoppling ger högre resistans medan parallellkoppling ger lägre resistans","Båda kopplingarna ger samma resistans","Seriekoppling ger högre resistans medan parallellkoppling ger lägre resistans"
40,"Vad händer med strömmen och spänningen i en krets där flera olika resistorer är kopplade parallellt?","Spänningen fördelas ojämnt","Strömmen delas mellan grenarna och spänningen är lika över alla","Strömmen är lika genom alla resistorer","Resistorer i parallell påverkar inte spänningen","Strömmen delas mellan grenarna och spänningen är lika över alla"
41,"Om en lampa i en seriekrets inte lyser, vad kan vara orsaken?","Lampan får för hög spänning","Kretsen är sluten","Batteriet är slut, eller ett avbrott i kretsen","Lampan är parallellkopplad","Batteriet är slut, eller ett avbrott i kretsen"
42,"Hur påverkas en glödlampa i en krets om en variabel resistor används för att minska resistansen?","Glödlampan slocknar","Glödlampan lyser starkare","Ingenting händer","Lampan börjar blinka","Glödlampan lyser starkare"
43,"Vilken ström går genom en resistor på 10 ohm om spänningen är 5 V?","0,5 A","2 A","0,2 A","5 A","0,5 A"
44,"En glödlampa är kopplad till en spänning på 230 V och strömmen genom lampan är 0,5 A. Hur stor är effekten?","460 W","115 W","230 W","0,5 W","115 W"
45,"Vad är huvudfunktionen för en resistor i en krets?","Att öka spänningen","Att minska strömmen","Att generera värme","Att lagra elektrisk energi","Att minska strömmen"
46,"I vilken enhet mäts elektrisk ström?","Volt","Ohm","Ampere","Watt","Ampere"
47,"Varför ska du undvika öppet vatten under åskväder?","Vatten ökar risken för värmeslag","Vatten leder elektricitet och gör dig till ett mål","Åskan är högre över vatten","Vindhastigheterna är högre över öppet vatten","Vatten leder elektricitet och gör dig till ett mål"
48,"Hur skyddar en åskledare en byggnad?","Genom att stöta bort blixten med statiska laddningar","Genom att omdirigera den elektriska laddningen säkert till marken","Genom att absorbera blixtens energi","Genom att generera ett skyddande elektriskt fält","Genom att omdirigera den elektriska laddningen säkert till marken"
49,"Vad händer om du lägger till fler resistorer i serie i en krets?","Den totala resistansen minskar","Den totala resistansen ökar","Strömmen ökar","Spänningen ökar","Den totala resistansen ökar"
50,"Vilket material är den bästa elektriska ledaren?","Silver","Plast","Glas","Järn","Silver"
51,"Vad händer med ljusstyrkan på en glödlampa om spänningen fördubblas i en enkel krets?","Ljusstyrkan halveras","Ljusstyrkan förblir densamma","Ljusstyrkan ökar","Glödlampan brinner ut omedelbart","Ljusstyrkan ökar"
52,"Vad är huvudfunktionen för en resistor i en krets?","Att öka spänningen","Att minska strömmen","Att generera värme","Att lagra elektrisk energi","Att minska strömmen"
53,"I vilken enhet mäts elektrisk ström?","Volt","Ohm","Ampere","Watt","Ampere"
54,"Varför ska du undvika öppet vatten under åskväder?","Vatten ökar risken för värmeslag","Vatten leder elektricitet och gör dig till ett mål","Åskan är högre över vatten","Vindhastigheterna är högre över öppet vatten","Vatten leder elektricitet och gör dig till ett mål"
55,"Hur skyddar en åskledare en byggnad?","Genom att stöta bort blixten med statiska laddningar","Genom att omdirigera den elektriska laddningen säkert till marken","Genom att absorbera blixtens energi","Genom att generera ett skyddande elektriskt fält","Genom att omdirigera den elektriska laddningen säkert till marken"
56,"Vad händer om du lägger till fler resistorer i serie i en krets?","Den totala resistansen minskar","Den totala resistansen ökar","Strömmen ökar","Spänningen ökar","Den totala resistansen ökar"
57,"Vilket material är den bästa elektriska ledaren?","Silver","Plast","Glas","Järn","Silver"
58,"Vad händer med ljusstyrkan på en glödlampa om spänningen fördubblas i en enkel krets?","Ljusstyrkan halveras","Ljusstyrkan förblir densamma","Ljusstyrkan ökar","Glödlampan brinner ut omedelbart","Ljusstyrkan ökar"
59,"Vad är en av de största utmaningarna med att producera elektricitet hållbart?","Hög efterfrågan på icke-förnybara resurser","Brist på teknologi för elproduktion","Oförmågan att lagra elektrisk energi effektivt","Lågt offentligt intresse för förnybar energi","Oförmågan att lagra elektrisk energi effektivt"
60,"Hur kan vi öka återvinningsgraden för batterier?","Gör batterier större","Utbilda konsumenter om batteriåtervinning","Minska användningen av batterier i elektronik","Använd endast engångsbatterier","Utbilda konsumenter om batteriåtervinning"
61,"Vad är ett praktiskt sätt att säkerställa att en produkt som innehåller batterier återvinns?","Använd plastförpackningar","Skriv ut en stor återvinningssymbol på förpackningen","Försegla batterierna i produkten","Sälj endast produkter utan batterier","Skriv ut en stor återvinningssymbol på förpackningen"
