id,question,option1,option2,option3,option4,correctOption
51,"Vad handlar Karin Boyes 'Kallocain' om?","Ett dystopiskt samhälle där staten kontrollerar allt","En kvinnas sökande efter frihet","En soldats erfarenheter från första världskriget","En surrealistisk värld fylld med drömmar","Ett dystopiskt samhälle där staten kontrollerar allt"
52,"Vilket tema är vanligt i lyriken från Modernismen?","Strikta versmått och rim","Individens inre värld och subjektiva upplevelser","Historiska händelser och nationalism","Idealiserade kärlekshistorier","Individens inre värld och subjektiva upplevelser"
53,"Vilket uttryck är typiskt för Modernismen?","'Allt kan förklaras med vetenskap'","'Det är rena Kafka'","'Känslan och fantasin är viktigast'","'Vi gör världen bättre'","'Det är rena Kafka'"
54,"Vilken berättarteknik blev populär under Modernismen?","Traditionella kronologiska berättelser","Experimentella tekniker som fokuserar på individens upplevelser","Strikta episka strukturer","Historiska berättelser med verkliga händelser","Experimentella tekniker som fokuserar på individens upplevelser"
55,"Vilken engelsk författare är känd för att utforska människors inre liv och tankar?","Franz Kafka","Ernest Hemingway","Virginia Woolf","Karin Boye","Virginia Woolf"
56,"Vad utforskade Sigmund Freud som påverkade Modernismen?","Teknologiska framsteg","Nationell stolthet","Det undermedvetna","Historiska konflikter","Det undermedvetna"
57,"Vad var en central idé i Modernismen?","Att återgå till traditionella värden","Att hylla religion och mystik","Att bryta mot gamla regler och skapa något nytt","Att idealisera teknologiska framsteg","Att bryta mot gamla regler och skapa något nytt"
58,"Vad är ett viktigt tema i Ernest Hemingways 'Farväl till vapnen'?","Romantisk kärlek","Krigets meningslöshet","Utforskning av mystik","En soldat som räddar världen","Krigets meningslöshet"
59,"Vad skildras i novellen 'Förvandlingen' av Franz Kafka?","En man som förvandlas till en insekt","En soldat som återvänder från kriget","En kvinna som utforskar sin frihet","En vetenskapsman som skapar ett monster","En man som förvandlas till en insekt"
60,"Vilken författare från Modernismen skrev 'Ja visst gör det ont' och 'I rörelse'?","Virginia Woolf","Karin Boye","Ernest Hemingway","Franz Kafka","Karin Boye"
61,"Vilket verk gjorde Johann Wolfgang von Goethe till en nyckelperson inom Romantiken?","Ivanhoe","Frankenstein","Den unge Werthers lidanden","The Tell-Tale Heart","Den unge Werthers lidanden"
62,"Vad är Mary Shelleys mest kända verk?","Jane Eyre","Frankenstein","The Glass Bead Game","Miss Julie","Frankenstein"
63,"Vilken genre populariserade Walter Scott?","Gotisk roman","Historisk roman","Lyrik","Dystopisk roman","Historisk roman"
64,"Vilken amerikansk författare är känd som en mästare på psykologisk skräck?","Harriet Beecher Stowe","Edgar Allan Poe","August Strindberg","Franz Kafka","Edgar Allan Poe"
65,"Vilket verk skrevs av Harriet Beecher Stowe och påverkade kampen mot slaveriet i USA?","Brott och straff","Uncle Tom's Cabin","Miss Julie","Förvandlingen","Uncle Tom's Cabin"
66,"Vilket tema är centralt i Fjodor Dostojevskijs romaner?","Historiska romanser","Psykologiska och filosofiska konflikter","Kvinnors sociala roller","Mystiska övernaturliga krafter","Psykologiska och filosofiska konflikter"
67,"Vilket av följande verk är skrivet av Charlotte Brontë?","Jane Eyre","Frankenstein","Den unge Werthers lidanden","Mrs. Dalloway","Jane Eyre"
68,"Vilken svensk författare är känd för sina naturalistiska pjäser som 'Fröken Julie'?","Karin Boye","Anne-Charlotte Leffler","August Strindberg","Selma Lagerlöf","August Strindberg"
69,"Vilken svensk författare skrev realistiska skildringar av kvinnors liv och sociala frågor?","Anne-Charlotte Leffler","Karin Boye","Victoria Benedictsson","Fredrika Bremer","Anne-Charlotte Leffler"
70,"Vilket verk av Franz Kafka handlar om en man som förvandlas till en insekt?","Processen","Förvandlingen","Stäppvargen","Farväl till vapnen","Förvandlingen"
71,"Vad handlar Hermann Hesses 'Stäppvargen' om?","En konflikt mellan en 'människosjäl' och en 'vargsjäl'","En surrealistisk drömvärld","En kärlekshistoria under första världskriget","En dystopisk framtid","En konflikt mellan en 'människosjäl' och en 'vargsjäl'"
72,"Vilken engelsk författare är känd för sitt stream-of-consciousness-berättande?","Virginia Woolf","Franz Kafka","Hermann Hesse","Sigmund Freud","Virginia Woolf"
73,"Vilket av Karin Boyes verk är en dystopisk roman?","I rörelse","Ja visst gör det ont","Kallocain","Till fyren","Kallocain"
74,"Vilken österrikisk tänkare påverkade Modernismen med sina teorier om det undermedvetna?","Franz Kafka","Hermann Hesse","Sigmund Freud","Virginia Woolf","Sigmund Freud"
75,"Vad är Edgar Allan Poe känd för?","Surrealistiska romaner","Skräck och psykologisk horror","Dystopiska framtidsskildringar","Historiska romaner","Skräck och psykologisk horror"
76,"Vilket tema är återkommande i Mary Shelleys 'Frankenstein'?","Utforskning av sociala normer","Konflikten mellan vetenskap och etik","Ett psykologiskt porträtt av skuld","En kvinnas kamp mot patriarkala strukturer","Konflikten mellan vetenskap och etik"
77,"Vilken genre definierade Walter Scott med verk som 'Ivanhoe'?","Skräck","Lyrik","Historisk roman","Stream-of-consciousness","Historisk roman"
78,"Vad är ett vanligt tema i Fjodor Dostojevskijs 'Brott och straff'?","En kamp för rättvisa","Moraliska dilemman och skuld","Historisk romantik","Utforskning av undermedvetna tankar","Moraliska dilemman och skuld"
79,"Vad skildras i Virginia Woolfs 'Mrs. Dalloway'?","En enda dag i huvudpersonens liv med reflektioner över tid och identitet","En dystopisk värld där staten kontrollerar allt","En surrealistisk berättelse om alienation","En psykologisk kamp mot sociala förväntningar","En enda dag i huvudpersonens liv med reflektioner över tid och identitet"
80,"Vad handlar Sigmund Freuds idé om det undermedvetna om?","Att drömmar inte har någon koppling till verkligheten","Att dolda tankar och känslor påverkar våra handlingar","Att människan styrs av yttre krafter","Att könsroller är biologiska och oföränderliga","Att dolda tankar och känslor påverkar våra handlingar"
