id;question;option1;option2;option3;option4;correctOption
46;"Vilket kolväte har summaformeln CH4?";"Metan";"Etan";"Propan";"Butan";"Metan"
47;"Hur separerar man kolväten i råolja?";"Genom fraktionerad destillation";"Genom filtrering";"Genom elektrolys";"Genom lösning i vatten";"Genom fraktionerad destillation"
48;"Vad är krackning?";"Att bryta längre kolkedjor till kortare";"Att omvandla gas till vätska";"Att separera kolväten med olika kokpunkter";"Att lösa upp kolväten i vatten";"Att bryta längre kolkedjor till kortare"
49;"Vilken funktionell grupp har alkoholer?";"OH-grupp";"COOH-grupp";"CH-grupp";"NH2-grupp";"OH-grupp"
50;"Vilken alkohol kallas träsprit?";"Metanol";"Etanol";"Propanol";"Butanol";"Metanol"
51;"Vad kännetecknar en organisk syra?";"Den har en karboxylgrupp (COOH)";"Den innehåller alltid syreatomer";"Den är alltid vätska vid rumstemperatur";"Den innehåller OH-grupper";"Den har en karboxylgrupp (COOH)"
52;"Vad är en ester och vad används den till?";"En förening mellan en organisk syra och en alkohol, används i smaker och dofter";"En syra som används i livsmedel";"En typ av plast som används i konstruktion";"En typ av kolväte som används som bränsle";"En förening mellan en organisk syra och en alkohol, används i smaker och dofter"
53;"Vad är polymerer?";"Långa kedjor av sammanbundna små molekyler";"Korta molekyler som används i plaster";"Föreningar av syre och kol";"En typ av vätska som används i papper";"Långa kedjor av sammanbundna små molekyler"
54;"Vilken polymer används i plastkassar?";"Polyeten";"Polyvinylklorid";"Polystyren";"Polypropen";"Polyeten"
55;"Vad är skillnaden mellan mättade och omättade kolväten?";"Mättade har bara enkelbindningar, omättade har dubbel- eller trippelbindningar";"Mättade är flytande, omättade är fasta";"Mättade är gaser, omättade är vätskor";"Mättade innehåller syre, omättade innehåller kväve";"Mättade har bara enkelbindningar, omättade har dubbel- eller trippelbindningar"
56;"Vilken bindningstyp är stabilast?";"Enkelbindning";"Dubbelbindning";"Trippelbindning";"De är alla lika stabila";"Enkelbindning"
57;"Vilken form av kol är världens hårdaste material?";"Diamant";"Grafit";"Fulleren";"Grafen";"Diamant"
58;"Vad används grafit till?";"Blyertspennor och smörjmedel";"Smycken";"Skärverktyg";"Byggmaterial";"Blyertspennor och smörjmedel"
59;"Vad är en summaformel?";"En kemisk formel som visar antal atomer i en molekyl";"En ritning av molekylens struktur";"En modell av molekylens form";"Ett annat namn för en strukturformel";"En kemisk formel som visar antal atomer i en molekyl"
60;"Vad är skillnaden mellan biobränsle och fossila bränslen?";"Biobränsle släpper ut modern koldioxid, fossila bränslen släpper ut gammal koldioxid";"Biobränsle är flytande, fossila bränslen är fasta";"Biobränsle är inte brännbart";"Fossila bränslen är förnybara";"Biobränsle släpper ut modern koldioxid, fossila bränslen släpper ut gammal koldioxid"
61;"Varför är det viktigt att minska användningen av fossila bränslen?";"De bidrar till växthuseffekten och är icke-förnybara";"De är för dyra att utvinna";"De är inte effektiva som bränslen";"De orsakar skador på ozonlagret";"De bidrar till växthuseffekten och är icke-förnybara"
