id,question,option1,option2,option3,option4,correctOption
18,"Varför låter en akustisk gitarr starkare än en elgitarr utan förstärkare?","Akustiska gitarren har fler strängar","Akustiska gitarrens kropp vibrerar i resonans med strängarna","Elgitarren använder magneter för att dämpa ljudet","Akustiska gitarren är gjord av lättare material","Akustiska gitarrens kropp vibrerar i resonans med strängarna"
19,"Vad händer när ett föremål vibrerar i samma takt som ett annat?","Interferens","Absorption","Resonans","Refraktion","Resonans"
20,"Vilket av följande är ett exempel på resonans?","Ett eko i en tom sal","En stämgaffel som får ett piano att vibrera","Ljudisolering i en vägg","En mikrofon som fångar upp ljud","En stämgaffel som får ett piano att vibrera"
21,"Hur påverkar resonans ljudets styrka?","Den minskar ljudstyrkan","Den ökar ljudstyrkan","Den ändrar inte ljudstyrkan","Den ändrar ljudets frekvens","Den ökar ljudstyrkan"
22,"Varför vibrerar plankan i en elgitarr nästan inte alls?","För att den är gjord av ett mjukt material","För att den är styv","För att den är täckt med ett ljudabsorberande material","För att den inte är i kontakt med strängarna","För att den är styv"
23,"Vilken del av örat tar emot ljudvågorna först?","Inre örat","Yttre örat","Mellanörat","Hörselnerven","Yttre örat"
24,"Vad är trumhinnans funktion?","Att förstärka ljudet","Att omvandla vibrationer till elektriska signaler","Att vibrera i takt med ljudvågorna","Att skydda innerörat","Att vibrera i takt med ljudvågorna"
25,"Vilka delar av örat överför vibrationerna från trumhinnan vidare?","Hörselcellerna","Hörselbenen","Hårcellerna","Balansorganen","Hörselbenen"
26,"Vad gör hörselcellerna?","De omvandlar ljudvågor till ljus","De skickar signaler till hjärnan","De förstärker ljudet","De skyddar trumhinnan","De skickar signaler till hjärnan"
27,"Vad är ultraljud?","Ljud med mycket låg frekvens","Ljud med frekvenser över 20 000 Hz","Ljud som kan höras av alla djur","Ljud som används i högtalare","Ljud med frekvenser över 20 000 Hz"
28,"Kan människor höra ultraljud?","Ja, alla människor kan höra ultraljud","Nej, människor kan inte höra ultraljud","Bara barn kan höra ultraljud","Bara vuxna kan höra ultraljud","Nej, människor kan inte höra ultraljud"
29,"Ge exempel på en medicinsk användning av ultraljud.","För att behandla depression","För att undersöka foster i livmodern","För att förbättra synen","För att minska stress","För att undersöka foster i livmodern"
30,"Vilka djur använder ultraljud för att navigera?","Katter och hundar","Fladdermöss och valar","Fåglar och fiskar","Ormar och ödlor","Fladdermöss och valar"
31,"Vad är infraljud?","Ljud med frekvenser över 20 000 Hz","Ljud med frekvenser under 20 Hz","Mycket starka ljud","Svaga viskningar","Ljud med frekvenser under 20 Hz"
32,"Kan människor höra infraljud?","Ja, infraljud är mycket behagligt att lyssna på","Nej, infraljud kan inte höras men kan påverka oss","Infraljud hörs bara på natten","Endast personer med speciell hörsel kan uppfatta infraljud","Nej, infraljud kan inte höras men kan påverka oss"
33,"Hur kan infraljud påverka oss?","Det gör oss piggare","Det kan orsaka illamående och koncentrationssvårigheter","Det förbättrar hörseln","Det har ingen märkbar effekt","Det kan orsaka illamående och koncentrationssvårigheter"
34,"Var kan man hitta källor till infraljud?","I hörlurar","I ventilationssystem","I musikinstrument","I ultraljudsmaskiner","I ventilationssystem"
35,"Vad mäts ljudnivå i?","Hertz","Decibel","Watt","Volt","Decibel"
36,"Vad motsvarar 0 dB på decibelskalan?","Det starkaste ljudet","Det svagaste ljudet som kan höras","Ett normalt samtal","Tystnad","Det svagaste ljudet som kan höras"
37,"Hur mycket starkare upplevs ett ljud som ökar från 80 dB till 90 dB?","Lika starkt","Dubbelt så starkt","Tre gånger så starkt","Hälften så starkt","Dubbelt så starkt"
38,"Vilken ljudnivå kan orsaka hörselskador vid långvarig exponering?","Under 70 dB","85-90 dB","100 dB","120 dB","85-90 dB"
39,"Vad kan starka ljud orsaka för skador?","Tillfällig trötthet","Hörselskador och tinnitus","Bättre nattsömn","Ökad stresstålighet","Hörselskador och tinnitus"
40,"Vad är tinnitus?","En sjukdom i balansorganet","Ett konstant oljud i örat","En form av hörselnedsättning","En allergisk reaktion","Ett konstant oljud i örat"
41,"Hur kan man skydda sig mot hörselskador?","Undvika att lyssna på musik","Använda hörselskydd","Äta mer vitaminer","Träna öronen","Använda hörselskydd"
42,"Vid vilken ljudnivå finns stor risk för hörselskada?","60 dB","80 dB","100 dB","120 dB","120 dB"
43,"Vad innebär efterklang?","Ljud som absorberas av material","Ljud som reflekteras snabbt efter varandra","Ett eko som uppstår i berg","Ljud som skapas av instrument","Ljud som reflekteras snabbt efter varandra"
44,"Hur kan man använda ett eko för att mäta avstånd?","Genom att mäta ljudets frekvens","Genom att mäta tiden det tar för ljudet att återvända","Genom att lyssna på ljudets tonhöjd","Det går inte att mäta avstånd med eko","Genom att mäta tiden det tar för ljudet att återvända"
45,"Vad är skillnaden mellan ett eko och efterklang?","Eko är starkare än efterklang","Efterklang är en serie av snabba överlappande eko","Eko uppstår bara inomhus","Efterklang uppstår bara utomhus","Efterklang är en serie av snabba överlappande eko"
46,"Varför låter det starkare i en simhall?","På grund av speciella högtalare","På grund av väggarnas och vattnets reflektioner","På grund av den höga temperaturen","På grund av den dåliga akustiken","På grund av väggarnas och vattnets reflektioner"
47,"Var sitter örats hörselceller?","I ytterörat","I mellanörat","I innerörat","På trumhinnan","I innerörat"
48,"Inom vilket frekvensområde kan vi höra ljud?","1 Hz till 10 000 Hz","20 Hz till 20 000 Hz","50 Hz till 25 000 Hz","100 Hz till 30 000 Hz","20 Hz till 20 000 Hz"
49,"Vad är infraljud?","Ljud med frekvenser över 20 000 Hz","Ljud med frekvenser under 20 Hz","Ljud som bara djur kan höra","Extremt starka ljud","Ljud med frekvenser under 20 Hz"
50,"Ge ett exempel på vad man kan använda ultraljud till.","Matlagning","Medicinisk undersökning av foster","Bilnavigation","Ljusshow","Medicinisk undersökning av foster"
51,"I vilken enhet mäts ljudnivå?","Hertz (Hz)","Decibel (dB)","Watt (W)","Volt (V)","Decibel (dB)"
52,"Vilket påstående och ord passar ihop? Enhet för ljudstyrka","Ultraljud","Hertz","Tinnitus","Decibel","Decibel"
53,"Vilket påstående och ord passar ihop? Hörselskada som orsakas av starka ljud","Ultraljud","Hertz","Tinnitus","Decibel","Tinnitus"
54,"Vilket påstående och ord passar ihop? Ljud med frekvenser över 20 000 Hz","Ultraljud","Hertz","Tinnitus","Decibel","Ultraljud"
55,"Vilket påstående och ord passar ihop? Enhet för ljudets frekvens","Ultraljud","Hertz","Tinnitus","Decibel","Hertz"
56,"Vilket påstående och ord passar ihop? Ljud med frekvenser under 20 Hz","Infraljud","Hertz","Tinnitus","Decibel","Infraljud"
57,"Varför försvagas ljudet när det färdas längre från källan?","Det absorberas av luften","Det förlorar energi","Energin fördelas över ett större område","Frekvensen ökar","Energin fördelas över ett större område"
58,"Vad används ett stetoskop till?","Mäta hjärtfrekvens","Förstärka musik","Lyssna på interna kroppsljud","Mäta lufttryck","Lyssna på interna kroppsljud"
59,"Vilken del av kroppen hjälper ett stetoskop läkare att lyssna på?","Ögon och öron","Hjärta och lungor","Hjärna och mage","Ben och muskler","Hjärta och lungor"
60,"Vad gör den ihåliga kroppen på en akustisk gitarr?","Den absorberar ljud","Den tar bort oönskade frekvenser","Den vibrerar i resonans med strängarna och förstärker ljudet","Den gör gitarren tyngre","Den vibrerar i resonans med strängarna och förstärker ljudet"
61,"Varför producerar en elektrisk gitarr (utan förstärkare) mindre ljud?","Den har inga strängar","Dess solida kropp vibrerar inte lika mycket, vilket resulterar i mindre resonans","Den är gjord av ett annat material","Elektriska gitarrer producerar inga ljud alls","Dess solida kropp vibrerar inte lika mycket, vilket resulterar i mindre resonans"
62,"Vilket av följande påståenden om resonans är korrekt?","Resonans gör ljudet svagare","Resonans gör ljudet ljusare","Resonans gör ljudet starkare","Resonans har ingen effekt på ljud","Resonans gör ljudet starkare"
63,"Vilket av följande påståenden om resonans är korrekt?","Resonans ger en högre ton","Resonans ger en lägre ton","Resonans förstärker ljudet men det ändrar inte tonen","Resonans tar bort vissa frekvenser","Resonans förstärker ljudet men det ändrar inte tonen"
64,"Hur visualiseras ljud med hjälp av ett oscilloskop?","Genom att mäta lufttrycket","Genom att omvandla ljud till elektriska signaler som visas som en våg","Genom att mäta ljudets hastighet","Genom att analysera ljudets färg","Genom att omvandla ljud till elektriska signaler som visas som en våg"
65,"Ge ett exempel på resonans:","Ljud som studsar mot en vägg","Den ihåliga kroppen på en akustisk gitarr som vibrerar i takt med strängarna","Ljud som absorberas av ett material","Ljud som färdas i en rak linje","Den ihåliga kroppen på en akustisk gitarr som vibrerar i takt med strängarna"
66,"Vad menas med frekvens?","Avståndet en ljudvåg färdas","Antalet vibrationer eller vågtoppar per sekund","Ljudets intensitet","Ljudets kvalitet","Antalet vibrationer eller vågtoppar per sekund"







