id,question,option1,option2,option3,option4,correctOption
48,"Vilka är de tre huvudsakliga näringsämnena?","Kolhydrater, proteiner, fetter","Vitaminer, järn, vatten","Syre, kväve, koldioxid","Socker, salt, peppar","Kolhydrater, proteiner, fetter"
49,"Vad är proteiner viktiga för?","Uppbyggnad av muskler och celler","Ge energi snabbt","Skydda mot UV-strålning","Lagra fett","Uppbyggnad av muskler och celler"
50,"Vad gör enzymer i kroppen?","Bryter ner maten","Bygger upp muskler","Transporterar syre","Skyddar mot virus","Bryter ner maten"
51,"I vilken miljö fungerar magsaftens enzymer bäst?","Sur","Basisk","Neutral","Salt","Sur"
52,"Vad är syftet med konserveringsmedel?","Förhindra att maten förstörs","Ge maten mer fett","Göra maten kall","Sänka pH-värdet till 0","Förhindra att maten förstörs"
53,"Vad är ett E-nummer?","Kod för en tillsats","Energiinnehåll","Vikt på produkten","Temperaturgräns","Kod för en tillsats"
54,"Vilket näringsämne ger mest energi per gram?","Fett","Protein","Kolhydrater","Vatten","Fett"
55,"Vad mäts energi i mat oftast i?","Kilokalorier","Liter","Joule","Procent","Kilokalorier"
56,"Vilken process sker när bröd jäser?","Jäsning","Destillation","Kondensering","Neutralisation","Jäsning"
57,"Vad händer vid oxidation av fett?","Det härsknar","Det smälter","Det blir kallt","Det fryser","Det härsknar"
58,"Vad är ett grundämne?","Ett ämne med bara en sorts atomer","En blandning av flera ämnen","Ett radioaktivt ämne","Ett ämne med vatten","Ett ämne med bara en sorts atomer"
59,"Vilken grupp tillhör syre?","Icke-metaller","Alkalimetaller","Ädelgaser","Halogener","Icke-metaller"
60,"Vad visar grupperna i det periodiska systemet?","Antal valenselektroner","Atomens massa","Antal protoner","Färg på ämnet","Antal valenselektroner"
61,"Vad kallas de vågräta raderna i periodiska systemet?","Perioder","Grupper","Sektioner","Skal","Perioder"
62,"Vad anger atomnumret?","Antal protoner","Antal neutroner","Atomens vikt","Antal molekyler","Antal protoner"
63,"Vad är masstalet ungefär lika med?","Protoner + neutroner","Protoner + elektroner","Elektroner + neutroner","Protoner x neutroner","Protoner + neutroner"
64,"Vilken egenskap har ädelgaser?","De reagerar ogärna med andra ämnen","De är radioaktiva","De är flytande vid rumstemperatur","De är alltid giftiga","De reagerar ogärna med andra ämnen"
65,"Vilken grupp är mycket reaktiv och bildar salter?","Halogener","Ädelgaser","Ädelmetaller","Alkaliska jordartsmetaller","Halogener"
66,"Vilken grupp reagerar kraftigt med vatten?","Alkalimetaller","Ädelgaser","Halogener","Metalloider","Alkalimetaller"
67,"Vilken typ av föreningar bildar metaller ofta?","Jonföreningar","Kovalenta föreningar","Organiska föreningar","Plaster","Jonföreningar"
68,"Vilket av följande är ett exempel på en polymer?","Plast","Järn","Glas","Koppar","Plast"
69,"Vilken typ av material är ofta gjord av lera och bränns i ugn?","Keramer","Metaller","Kompositer","Polymerer","Keramer"
70,"Vilken egenskap har metaller vanligtvis?","God ledningsförmåga","Är lätta att krossa","Är gjorda av kol","Smälter vid rumstemperatur","God ledningsförmåga"
71,"Vad innebär hållfasthet?","Motstånd mot att gå sönder","Möjlighet att böja ljus","Förmåga att leda elektricitet","Hur snabbt något rostar","Motstånd mot att gå sönder"
72,"Vad är ett skäl att återvinna glas?","Det sparar energi","Det går inte att återvinna","Det luktar illa","Det är magnetiskt","Det sparar energi"
73,"Vilket av följande material är lättast att återvinna?","Aluminium","Trä","Keramik","Läder","Aluminium"
74,"Vilket material användes mest under stenåldern?","Sten","Järn","Plast","Brons","Sten"
75,"Vilken period kom efter stenåldern?","Bronsåldern","Plaståldern","Järnåldern","Betongåldern","Bronsåldern"
76,"Vad är speciellt med nanomaterial?","De är extremt små","De är gjorda av trä","De lyser i mörker","De rostar lätt","De är extremt små"
77,"Vilket användningsområde har nanoteknik?","Medicin","Trädgårdsarbete","Biltvätt","Musikproduktion","Medicin"
